"","Player.Code","Team.Code","Last.Name","First.Name","Class","Position","Rush.Att","Rush.Yard","Rush.TD","Pass.Att","Pass.Yard","Pass.TD","Pass.Int","Pass.Comp","Rec.Yards","Rec.TD","Rec"
"1273",1024285,312,"Rogers","Brad","FR","RB",11,75,0,0,0,0,0,0,15,0,2
"1274",1009325,312,"Sandeman","Colin","SR","WR",1,3,0,0,0,0,0,0,227,2,21
"1275",1032235,312,"Shumpert","Don","FR","WR",0,0,0,0,0,0,0,0,0,0,0
"1277",1009318,312,"Stanzi","Ricky","SR","QB",48,-6,2,345,3004,25,6,221,-1,0,1
"1280",1016628,312,"Vandenberg","James","SO","QB",6,32,0,8,45,1,0,5,0,0,0
"1283",1016627,312,"Wienke","John","SO","QB",0,0,0,1,0,0,0,0,0,0,0
"1284",1016658,327,"Bachamp","Cole","JR","WR",0,0,0,0,0,0,0,0,33,0,2
"1287",1001570,327,"Coffman","Carson","SR","QB",110,157,9,263,2060,14,7,171,30,0,1
"1292",1017928,327,"Harper","Chris","SO","WR",5,47,0,0,0,0,0,0,325,4,24
"1294",1016695,327,"Hilburn","Adrian","SR","WR",0,0,0,0,0,0,0,0,299,2,28
"1296",1024325,327,"Hubert","John","FR","RB",11,25,0,0,0,0,0,0,0,0,0
"1300",1016656,327,"Klein","Collin","SO","QB",76,432,6,18,138,1,0,11,0,0,0
"1301",1024306,327,"Lamur","Sammuel","JR","QB",3,20,0,3,28,0,0,3,0,0,0
"1303",1024312,327,"McDonald","Andre","FR","TE",0,0,0,0,0,0,0,0,76,1,5
"1304",1032248,327,"McFall","Zach","SO","WR",0,0,0,0,0,0,0,0,12,0,2
"1308",1024330,327,"Powell","William","SR","RB",23,250,4,0,0,0,0,0,5,0,1
"1309",1016698,327,"Quarles","Aubrey","SR","WR",3,41,0,0,0,0,0,0,765,5,52
"1313",1017150,327,"Smith","Brodrick","SO","WR",3,21,0,0,0,0,0,0,191,3,14
"1316",1024348,327,"Tannahill","Travis","SO","TE",0,0,0,0,0,0,0,0,103,1,7
"1317",1024347,327,"Thomas","Daniel","SR","RB",298,1585,19,8,105,1,1,4,171,0,27
"1318",1024349,327,"Thompson","Tramaine","FR","WR",2,17,0,0,0,0,0,0,258,0,19
"1320",1016726,328,"Biere","Tim","JR","TE",0,0,0,0,0,0,0,0,228,4,19
"1323",1001639,328,"Dedeaux","Bradley","SR","TE",0,0,0,0,0,0,0,0,0,0,0
"1324",1016725,328,"Harris Jr.","Rod","JR","WR",0,0,0,0,0,0,0,0,0,0,0
"1330",1024356,328,"Matthews","Christian","FR","QB",0,0,0,0,0,0,0,0,41,0,1
"1332",1024362,328,"McDougald","Bradley","SO","WR",6,31,0,0,0,0,0,0,240,1,19
"1333",1024386,328,"McGriff","Erick","FR","WR",0,0,0,0,0,0,0,0,61,0,6
"1334",1009423,328,"McNulty","Ted","JR","TE",0,0,0,0,0,0,0,0,11,0,1
"1335",1032312,328,"Mecham","Quinn","JR","QB",28,6,0,102,554,4,5,61,0,0,0
"1338",1024385,328,"Omigie","Chris","FR","WR",0,0,0,0,0,0,0,0,73,0,7
"1339",1024366,328,"Opurum","Toben","SO","RB",0,0,0,0,0,0,0,0,0,0,0
"1341",1016700,328,"Pick","Kale","SO","QB",15,17,0,36,193,0,1,21,18,0,3
"1342",1001605,328,"Quigley","Angus","SR","RB",71,262,1,0,0,0,0,0,164,0,15
"1343",1024367,328,"Sands","Deshaun","FR","RB",55,211,1,0,0,0,0,0,21,0,4
"1345",1032299,328,"Sims","James","FR","RB",168,742,9,0,0,0,0,0,134,1,19
"1347",1009407,328,"Steward","AJ","JR","TE",0,0,0,0,0,0,0,0,8,0,1
"1348",1032316,328,"Terry","Keeston","FR","WR",0,0,0,0,0,0,0,0,0,0,0
"1349",1032314,328,"Turzilli","Andrew","FR","WR",0,0,0,0,0,0,0,0,0,0,0
"1350",1024360,328,"Webb","Jordan","FR","QB",59,84,0,214,1195,7,8,121,0,0,0
"1351",1009440,328,"Wilson","Johnathan","SR","WR",0,0,0,0,0,0,0,0,387,2,38
"1353",1024397,331,"Archer","Dri","SO","RB",40,140,1,0,0,0,0,0,75,1,16
"1354",1016732,331,"Battles","Sal","SO","QB",10,42,0,4,8,0,0,1,0,0,0
"1355",1024396,331,"Bowman Jr.","Anthony","SR","WR",0,0,0,0,0,0,0,0,29,0,4
"1360",1032333,331,"Erjavec","Tim","FR","TE",0,0,0,0,0,0,0,0,71,1,7
"1362",1009456,331,"Flowers","Andre","SR","RB",41,180,1,0,0,0,0,0,0,0,0
"1363",1016752,331,"Gilbert","Chris","JR","WR",0,0,0,0,0,0,0,0,142,0,11
"1364",1024403,331,"Goode","Tyshon","SO","WR",1,3,0,0,0,0,0,0,743,5,59
"1365",1016749,331,"Gordon","Chris","SO","WR",0,0,0,0,0,0,0,0,17,0,3
"1368",82976,331,"Jarvis","Eugene","SR","RB",58,294,3,0,0,0,0,0,52,0,9
"1369",1024390,331,"Keith","Spencer","SO","QB",59,18,3,364,2212,8,11,215,0,0,0
"1370",1009450,331,"Kirkland","Sam","JR","WR",3,84,0,2,24,1,1,1,599,1,56
"1375",1009451,331,"Morgan","Giorgio","JR","QB",7,61,0,19,165,2,2,11,0,0,0
"1376",1001651,331,"Muldrow","Leneric","SR","WR",4,11,0,1,0,0,0,0,200,0,14
"1378",1022814,331,"Pressley","Kendrick","JR","WR",0,0,0,0,0,0,0,0,95,0,12
"1381",1016735,331,"Terry","Jacquise","JR","RB",151,542,7,0,0,0,0,0,285,2,23
"1382",1016748,331,"Thompson","Justin","JR","TE",0,0,0,0,0,0,0,0,101,1,14
"1383",1024447,334,"Adams","Brian","FR","WR",0,0,0,0,0,0,0,0,23,0,3
"1384",1024446,334,"Aumiller","Jordan","FR","TE",0,0,0,0,0,0,0,0,193,1,18
"1389",1016760,334,"Cobb","Randall","JR","WR",55,424,5,10,58,3,0,5,1017,7,84
"1390",1016780,334,"Correll","Gabe","SO","TE",0,0,0,0,0,0,0,0,0,0,0
"1393",1016778,334,"Fields","E.J.","SO","WR",0,0,0,0,0,0,0,0,0,0,0
"1396",1001694,334,"Hartline","Mike","SR","QB",32,-35,1,405,3178,23,9,268,0,0,0
"1398",1024445,334,"Kendrick","Anthony","FR","TE",0,0,0,0,0,0,0,0,23,0,3
"1399",1024421,334,"King","La'Rod","SO","WR",0,0,0,0,0,0,0,0,478,5,36
"1400",1024444,334,"Matthews","Chris","SR","WR",0,0,0,0,0,0,0,0,925,9,61
"1403",1024430,334,"Melillo","Nick","JR","TE",0,0,0,0,0,0,0,0,10,0,1
"1405",1024418,334,"Newton","Morgan","SO","QB",16,50,0,43,265,0,0,25,0,0,0
"1407",1016763,334,"Roark","Matt","JR","WR",1,-12,0,0,0,0,0,0,170,0,12
"1408",1032386,334,"Robinson","Tyler","FR","TE",0,0,0,0,0,0,0,0,80,1,11
"1409",1032367,334,"Sanders","Raymond","FR","RB",68,254,3,0,0,0,0,0,114,1,16
"1410",1009490,334,"Sargent","Tyler","JR","QB",1,2,0,0,0,0,0,0,0,0,0
"1415",1032396,365,"Blue","Alfred","FR","RB",20,101,1,0,0,0,0,0,1,0,1
"1416",1032420,365,"Boone","Kadron","FR","WR",0,0,0,0,0,0,0,0,52,0,4
"1417",1016818,365,"Clement","Chase","SO","TE",0,0,0,0,0,0,0,0,42,0,2
"1420",1016802,365,"Edwards","Tyler","SO","TE",0,0,0,0,0,0,0,0,10,0,1
"1422",1024476,365,"Ford","Michael","FR","RB",45,268,3,0,0,0,0,0,30,1,2
"1428",1016820,365,"Jefferson","Jordan","JR","QB",123,450,7,209,1411,7,10,118,0,0,0
"1430",1009565,365,"Joseph","Mitch","JR","TE",0,0,0,0,0,0,0,0,51,0,5
"1431",1009529,365,"Lee","Jarrett","JR","QB",10,-46,0,89,573,2,1,54,0,0,0
