Year,Round,Pick,Overall,Name,Team,Position,School,Rec.Yards,Rec.TD,Rec
2019,5,33,171,Darius Slayton,GIANTS,WR,Auburn,670,10,35
2020,1,12,12,Henry Ruggs,RAIDERS,WR,Alabama,NA,NA,NA
2020,1,15,15,Jerry Jeudy,BRONCOS,WR,Alabama,1315,14,68
2020,1,17,17,CeeDee Lamb,COWBOYS,WR,Oklahoma,1327,14,62
2020,1,21,21,Jalen Reagor,EAGLES,WR,Texas Christian,1061,9,72
2020,1,22,22,Justin Jefferson,VIKINGS,WR,Louisiana State,1540,18,111
2020,1,25,25,Brandon Aiyuk,49ERS,WR,Arizona State,1192,16,65
2020,2,1,33,Tee Higgins,BENGALS,WR,Clemson,1167,13,59
2020,2,2,34,Michael Pittman,COLTS,WR,USC,NA,NA,NA
2020,2,10,42,Laviska Shenault,JAGUARS,WR,Colorado,NA,NA,NA
2020,2,14,46,KJ Hamler,BRONCOS,WR,Penn State,904,8,56
2020,2,17,49,Chase Claypool,STEELERS,WR,Notre Dame,1037,13,66
2020,2,25,57,Van Jefferson,RAMS,WR,Florida,NA,NA,NA
2020,2,27,59,Denzel Mims,JETS,WR,Baylor,1087,8,61
2020,3,2,66,Antonio Gibson,TEAM,WR,Memphis,735,8,38
2020,3,16,80,Lynn Bowden,RAIDERS,WR,Kentucky,NA,NA,NA
2020,3,17,81,Bryan Edwards,RAIDERS,WR,South Carolina,846,7,55
2020,3,28,92,Devin Duvernay,RAVENS,WR,Texas,1386,9,106
2020,4,22,128,Gabriel Davis,BILLS,WR,Central Florida,1241,12,72
2020,4,36,142,Antonio Gandy-Golden,TEAM,WR,Liberty,1396,10,79
2020,5,5,151,Joe Reed,CHARGERS,WR,Virginia,679,7,77
2020,5,15,161,Tyler Johnson,BUCCANEERS,WR,Minnesota,NA,NA,NA
2020,5,19,165,Collin Johnson,JAGUARS,WR,Texas,985,7,68
2020,5,20,166,Quintez Cephus,LIONS,WR,Wisconsin,NA,NA,NA
